            6f19
           triplet            singlet           triplet            singlet             triplet            singlet
Constant  a3\Sig_u^+         A1\Sig_u^+         b3\Pi_g            B1\Pi_g            c3\Sig_g^+         C1\Sig_g^+
    v=0      Tab3               Tab6               Tab4               Tab6               Tab5                Tab6
T_v          0.0                0.0             4768.1454235       3501.79709        10889.471719       10945.477215
B_v          7.58914127         7.67101475         7.32343029         7.28719975         6.85395240         6.94709280d0
D_v          5.61529136d-4      5.446846d-4        5.25315161d-4      5.185041d-4        5.58087177d-4      5.202549d-4
H_v          3.21725d-8         1.75108d-8         2.96433d-8         2.76367d-8         2.22128d-8         2.590103d-8
L_v         -3.480130d-12      -3.8463d-12        -2.5121d-12         0                 -7.523139d-12      -4.0069d-12
A_v          0                  0                 -0.2273382          0                  0                  0
q_v          0                  0                 -2.5391794d-2      -1.812519d-2        0                  0
q_Dv         0                  0                  5.18962d-6         3.95774d-6         0                  0
q_Hv         0                  0                 -5.6996d-10         0                  0                  0
p_v          0                  0                  5.5924d-4          0                  0                  0
o_v          0                  0                  0.289753           0                  0                  0
gm_v        -8.080522d-5        0                 -1.193129d-4        0                 -8.0805d-5          0
gm_Dv        2.282870d-8        0                  0                  0                  2.2828d-8          0
gm_Hv       -1.94362d-12        0                  0                  0                  0                  0
lm_v        -3.6664342128d-2    0                  5.55430d-2         0                 -3.6664342d-2       0
lm_Dv        6.588737d-6        0                  0                  0                  6.5887d-6          0
lm_Hv       -1.59594d-10        0                  0                  0                  0                  0
lm_Lv        4.6562d-14         0                  0                  0                  0                  0

    v=1      Tab3               Tab6               Tab4               Tab6               Tab5               Tab6
T_v       1732.161523        1790.75            6466.983723        5198.776317       12369.49825        12517.286322
B_v          7.34874232         7.446928206        7.10061134         7.067828214        6.55682063         6.699930169
D_v          5.65381178d-4      5.43724d-4         5.26152202d-4      5.1358159          5.806749d-4        5.2495125d-4
H_v          2.83730d-8         1.75108d-8         2.76236d-8         0                  4.49135d-8         1.6027d-8
L_v          0                  3.34167d-12        0                  0                 -3.68120d-12        0
A_v          0                  0                 -0.22367123         0                  0                  0
q_v          0                  0                 -2.4728190d-2      -1.746743d-2       -1.746743d-2        0
q_Dv         0                  0                  4.93942d-6         3.957d-6           3.957d-6           0
q_Hv         0                  0                  0                  0                  0                  0
p_v          0                  0                  6.6538d-4          0                  0                  0
o_v          0                  0                  0.2883548          0                  0                  0
gm_v        -7.5195106d-5       0                 -1.193d-4           0                 -8.0805d-5          0
gm_Dv        1.9201150d-8       0                  0                  0                  2.2828d-8          0
gm_Hv        0                  0                  0                  0                  0                  0
lm_v        -3.4617928d-2       0                  5.36138d-2         0                 -3.6664342d-2       0
lm_Dv        6.754940d-6        0                  0                  0                  6.5887d-6          0
lm_Hv       -1.595d-10          0                  0                  0                  0                  0
lm_Lv        4.65d-14           0                  0                  0                  0                  0

    v=2      Tab3                                                                        Tab5
T_v       3386.502460           0                  0                  0              13741.214756           0
B_v          7.10174712         0                  0                  0                  6.226366133        0
D_v          5.743970d-4        0                  0                  0                  6.3060104d-4       0
H_v          3.312114d-8        0                  0                  0                  6.530d-8           0
L_v          0                  0                  0                  0                 -4.4929d-12         0
A_v          0                  0                  0                  0                  0                  0
q_v          0                  0                  0                  0                  0                  0
q_Dv         0                  0                  0                  0                  0                  0
q_Hv         0                  0                  0                  0                  0                  0
p_v          0                  0                  0                  0                  0                  0
o_v          0                  0                  0                  0                  0                  0
gm_v        -7.146667d-5        0                  0                  0                 -8.0805d-5          0
gm_Dv        1.94632d-8         0                  0                  0                  2.2828d-8          0
gm_Hv        0                  0                  0                  0                  0                  0
lm_v        -3.2505686d-2       0                  0                  0                 -3.6664342d-2       0
lm_Dv        6.86422d-6         0                  0                  0                  6.5887d-6          0
lm_Hv       -1.595d-10          0                  0                  0                  0                  0
lm_Lv        4.65d-14           0                  0                  0                  0                  0

           Tab7
omega_e   1808.50084         1861.3             1769.33760         1766.15119         1588.33816         1571.809137
om_e x_e    37.81275           35.2               35.24929           34.58610           54.155560           0
om_e y_e    -0.19725           -0.13               0                  0                  0                  0
om_e z_e    -0.014526           0                  0                  0                  0                  0

B_e          7.70736467         7.7814026          7.43344279         7.3954836          6.990020           7.0706720
alph_e       0.23416            0.2197452          0.2190921          0.2156192          0.2638140          0.2471625
gam_1e      -2.1114d-3         -2.1017d-3         -1.8610d-3         -1.8844d-3        -16.6615d-3          0
gam_2e      -2.6528d-4          0                  0                  0                  0                  0
