                            F ^2 Sigma^+      F  0  1  +  .   [47677.3]           .           .           .    [0.5088]           .           .   [2.15E-6]           .    [1.8164]
                            E ^2 Delta_i      E  2  1  .  .       45562       (503)           .           .    [0.4951]           .           .    [1.9E-6]           .    [1.8444]
                            E ^2 Delta_i      E  2  1  .  .       45431       (503)           .           .    [0.4919]           .           .    [1.9E-6]           .    [1.8444]
                           D ^2  Sigma^+      D  0  1  +  .     40266.7       819.6         5.8           .      0.5652      0.0046    -0.00005     1.10E-6           .      1.7234
                               C ^2 Pi_r      C  1  1  .  .       33153         856           6           .           .           .           .           .           .           .
                               C ^2 Pi_r      C  1  1  .  .       33079           .           6           .           .           .           .           .           .           .
                            B ^2 Sigma^+      B  0  2  +  .    20688.95      870.05        3.52           .     0.60408     0.00447           .     1.16E-6           .      1.6670
                               A ^2 Pi_i      A  1  1  .  .      5470.6       728.5        4.15           .    [0.5374]           .           .    [1.1E-6]           .    [1.7708]
                               A ^2 Pi_i      A  1  1  .  .      5341.7       728.5        4.15           .    [0.5333]           .           .    [1.1E-6]           .    [1.7708]
                            X ^2 Sigma^+      X  0  2  +  .           0      979.23        6.97           .     0.64136     0.00580           .     1.08E-6           .      1.6179
