                            J ^2 Delta_I      J  2  2  .  .    65258.19     1121.76      14.203       0.180      1.3052      0.0208           .      5.8E-6           .      1.4137
                             H ^2 Pi_(r)      H  1  2  .  .   [61969.7]           .           .           .     [1.520]           .           .           .           .     [1.310]
                                 G ^2 Pi      G  1  2  .  .   [61655.0]           .           .           .     [1.085]           .           .           .           .     [1.551]
                            F ^2 Delta_r      F  2  2  .  .  60095.64$I     1239.50       12.75           .      1.3834      0.0187           .        7E-6           .      1.3732
                            E ^2 Sigma^+      E  0  1  +  .    59151.18     1681.43        3.60       -1.02      1.4871     0.00643    -0.00077      5.0E-6           .      1.3245
                               D ^2 Pi_I      D  1  1  .  .     54486.3     1004.71        8.78           .       1.162       0.013           .        7E-6           .       1.498
                          a ^4 Sigma^(+)      a  0  4  +  .     (32400)           .           .           .           .           .           .           .           .           .
                            B ^2 Sigma^+      B  0  1  +  .     25752.0      2163.9        20.2           .       1.973       0.023           .    [6.6E-6]           .        1.15
                               A ^2 Pi_I      A  1  1  .  .     9245.28     1812.56      12.609     -0.0118      1.7151     0.01708  -0.0000364     5.93E-6   0.0425E-6      1.2333
                            X ^2 Sigma^+      X  0  2  +  .           0     2068.59      13.087   -0.009093     1.89974    0.017369 -0.00003107     6.40E-6 0.000000012     1.17182
