                            G (^2 Delta)      G  2  1  .  .       36712       434.0         1.1           .           .           .           .           .           .           .
                            G (^2 Delta)      G  2  1  .  .       36708       434.0         1.1           .           .           .           .           .           .           .
                               F (^2 Pi)      F  1  2  .  .       35700       432.5         0.8        0.06           .           .           .           .           .           .
                            F (^2 Sigma)      F  0  1  .  .       35676       432.5         0.8        0.06           .           .           .           .           .           .
                            E (^2 Sigma)      E  0  1  .  .     34266.4       413.3        1.68           .           .           .           .           .           .           .
                            D (^2 Sigma)      D  0  2  .  .     31107.8       423.4        1.61           .           .           .           .           .           .           .
                               C ^2 Pi_r      C  1  1  .  .     26574.6    [333.86]         1.4           .     0.14305    0.000747           . 0.000000102           .      2.5160
                               C ^2 Pi_r      C  1  1  .  .     26498.9       336.0         1.4           .   [0.14216]           .           . 0.000000102           .      2.5160
                            B ^2 Sigma^+      B  0  2  +  .     16849.4       366.7        1.43           .           .           .           .           .           .           .
                                 A ^2 Pi      A  1  1  .  .     16163.2       372.3         1.2       -0.05           .           .           .           .           .           .
                                 A ^2 Pi      A  1  1  .  .     16093.7       372.3         1.2       -0.05           .           .           .           .           .           .
                            X ^2 Sigma^+      X  0  2  +  .           0    [367.53]        1.31           .     0.15195    0.000783           .           1           .       2.439
