H          0.00000   0.30103 -0.00001  0.00000  0.00000  0.00000
H+         0.00000   0.00000  0.00000  0.00000  0.00000  0.00000             
Li         0.00128   0.31804 -0.20616  0.91456 -1.66121  1.04159
B          0.00319   0.78028 -0.01622  0.00000  0.00000  0.00000
C          0.00375   0.96752 -0.09452  0.08055  0.00000  0.00000 
N          0.00279   0.60683 -0.08674  0.30565 -0.28114  0.00000 
NII        0.00362   0.94968 -0.06463 -0.01291  0.00000  0.00000
O          0.00325   0.95033 -0.05703  0.00000  0.00000  0.00000
F          0.00072   0.76284 -0.03582 -0.05619  0.00000  0.00000
Na         0.00328   0.30955 -0.17778  1.10594 -2.42847  1.70721
Mg         0.00239   0.00556 -0.12840  0.81506 -1.79635  1.26292
Al         0.00268   0.76786 -0.05207  0.14713 -0.21376  0.00000
Si         0.00318   0.97896 -0.19208  0.04753  0.00000  0.00000
S          0.00376   0.95254 -0.15166  0.02340  0.00000  0.00000
Cl         0.00041   0.74465 -0.07389 -0.06965  0.00000  0.00000
K          0.00209   0.34419 -0.48157  1.92563 -3.17826  1.83211
Ca         0.00388   0.07460 -0.75759  2.58494 -3.53170  1.65240
Sc         0.00581   1.08209 -0.77814  1.78504 -1.39179  0.00000
Ti         0.00244   1.47343 -0.97220  1.47986 -0.93275  0.00000
V          0.00434   1.68359 -0.82055  0.92361 -0.78342  0.00000
Cr         0.00449   1.02332 -1.02540  2.02181 -1.32723  0.00000
Fe         0.00382   1.44701 -0.67040  1.01267 -0.81428  0.00000
Y          0.00543   1.07605 -0.90007  1.71783 -1.32443  0.00000
Zr         0.00078   1.51403 -1.10749  0.71584 -0.30517  0.00000
La         0.00302   1.43627 -1.44018  0.81057 -0.23872  0.00000
end
