-----------------------------------------------------------------
At. num | Sp. Name      |        Ionization Energy (eV)         |
--------|---------------|---------------------------------------|
      1 | H I           |           (13.598434005136)           |
      2 | He I          |            24.587387936               |
      3 | Li I          |             5.391714761               |
      4 | Be I          |             9.3226990                 |
      5 | B I           |             8.2980190                 |
      6 | C I           |            11.260296                  |
      7 | N I           |            14.534130                  |
      8 | O I           |            13.6180540                 |
      9 | F I           |            17.422820                  |
     10 | Ne I          |            21.5645400                 |
     11 | Na I          |             5.13907670                |
     12 | Mg I          |             7.6462350                 |
     13 | Al I          |             5.9857684                 |
     14 | Si I          |             8.151683                  |
     15 | P I           |            10.486686                  |
     16 | S I           |            10.36001                   |
     17 | Cl I          |            12.967630                  |
     18 | Ar I          |            15.75961120                |
     19 | K I           |             4.340663540               |
     20 | Ca I          |             6.11315520                |
     21 | Sc I          |             6.561490                  |
     22 | Ti I          |             6.828120                  |
     23 | V I           |             6.746187                  |
     24 | Cr I          |             6.76651                   |
     25 | Mn I          |             7.434018                  |
     26 | Fe I          |             7.9024678                 |
     27 | Co I          |             7.88101                   |
     28 | Ni I          |             7.639877                  |
     29 | Cu I          |             7.7263800                 |
     30 | Zn I          |             9.3941990                 |
     31 | Ga I          |             5.9993018                 |
     32 | Ge I          |             7.899435                  |
     33 | As I          |             9.78900                   |
     34 | Se I          |             9.752392                  |
     35 | Br I          |            11.813810                  |
     36 | Kr I          |            13.9996049                 |
     37 | Rb I          |             4.1771280                 |
     38 | Sr I          |             5.69486720                |
     39 | Y I           |             6.21726                   |
     40 | Zr I          |             6.633900                  |
     41 | Nb I          |             6.758850                  |
     42 | Mo I          |             7.092430                  |
     43 | Tc I          |             7.119381                  |
     44 | Ru I          |             7.360500                  |
     45 | Rh I          |             7.458900                  |
     46 | Pd I          |             8.33686                   |
     47 | Ag I          |             7.576234                  |
     48 | Cd I          |             8.993822                  |
     49 | In I          |             5.78635520                |
     50 | Sn I          |             7.343917                  |
     51 | Sb I          |             8.608389                  |
     52 | Te I          |             9.00966                   |
     53 | I I           |            10.451260                  |
     54 | Xe I          |            12.1298431                 |
     55 | Cs I          |             3.893905548               |
     56 | Ba I          |             5.2116640                 |
     57 | La I          |             5.57690                   |
     58 | Ce I          |             5.53860                   |
     59 | Pr I          |            [5.473]                    |
     60 | Nd I          |             5.52500                   |
     61 | Pm I          |            [5.582]                    |
     62 | Sm I          |             5.64371                   |
     63 | Eu I          |             5.6703850                 |
     64 | Gd I          |             6.149796                  |
     65 | Tb I          |             5.86380                   |
     66 | Dy I          |             5.939050                  |
     67 | Ho I          |             6.02150                   |
     68 | Er I          |             6.1077                    |
     69 | Tm I          |             6.184310                  |
     70 | Yb I          |             6.254160                  |
     71 | Lu I          |             5.425871                  |
     72 | Hf I          |             6.825070                  |
     73 | Ta I          |             7.549570                  |
     74 | W I           |             7.86403                   |
     75 | Re I          |             7.83352                   |
     76 | Os I          |             8.43823                   |
     77 | Ir I          |             8.96702                   |
     78 | Pt I          |             8.95883                   |
     79 | Au I          |             9.2255530                 |
     80 | Hg I          |            10.4375040                 |
     81 | Tl I          |             6.1082870                 |
     82 | Pb I          |             7.41667960                |
     83 | Bi I          |             7.2855160                 |
     84 | Po I          |             8.4140                    |
     85 | At I          |             9.317510                  |
     86 | Rn I          |            10.74850                   |
     87 | Fr I          |             4.0727409                 |
     88 | Ra I          |             5.2784240                 |
     89 | Ac I          |             5.380226                  |
     90 | Th I          |             6.30670                   |
     91 | Pa I          |            [5.89]                     |
     92 | U I           |             6.194050                  |
-----------------------------------------------------------------
