# Measured ionization energies (eV) for all elements (and several ionization stages)
# Source: CRC Handbook of Chemistry and Physics,  91st edition
# 
# -1 flag indicates missing data
# 
#   Z   Sym            I           II          III
    1     H    13.598443           -1           -1
    2    He    24.587387    54.417760           -1
    3    Li     5.391719      75.6400    122.45429
    4    Be      9.32270     18.21114    153.89661
    5     B      8.29802      25.1548     37.93064
    6     C     11.26030      24.3833      47.8878
    7     N      14.5341      29.6013     47.44924
    8     O     13.61805      35.1211      54.9355
    9     F      17.4228      34.9708      62.7084
   10    Ne     21.56454     40.96296        63.45
   11    Na     5.139076      47.2864      71.6200
   12    Mg     7.646235     15.03527      80.1437
   13    Al     5.985768     18.82855     28.44765
   14    Si      8.15168     16.34584     33.49302
   15     P     10.48669      19.7695      30.2027
   16     S     10.36001     23.33788        34.79
   17    Cl     12.96763      23.8136        39.61
   18    Ar    15.759610     27.62966        40.74
   19     K    4.3406633        31.63       45.806
   20    Ca      6.11316     11.87172      50.9131
   21    Sc      6.56149     12.79977     24.75666
   22    Ti      6.82812      13.5755      27.4917
   23     V      6.74619       14.618       29.311
   24    Cr      6.76651      16.4857        30.96
   25    Mn      7.43402      15.6400       33.668
   26    Fe       7.9024      16.1877       30.652
   27    Co      7.88101       17.084        33.50
   28    Ni       7.6398     18.16884        35.19
   29    Cu      7.72638      20.2924       36.841
   30    Zn     9.394199     17.96439       39.723
   31    Ga     5.999301     20.51515      30.7258
   32    Ge      7.89943     15.93461      34.2241
   33    As       9.7886      18.5892       28.351
   34    Se      9.75239        21.19      30.8204
   35    Br      11.8138       21.591           36
   36    Kr     13.99961     24.35984       36.950
   37    Rb     4.177128      27.2895           40
   38    Sr      5.69485      11.0301        42.89
   39     Y       6.2173       12.224        20.52
   40    Zr      6.63390         13.1        22.99
   41    Nb      6.75885         14.0        25.04
   42    Mo      7.09243        16.16        27.13
   43    Tc         7.28        15.26        29.54
   44    Ru      7.36050        16.76        28.47
   45    Rh      7.45890        18.08        31.06
   46    Pd       8.3369        19.43        32.93
   47    Ag      7.57623     21.47746        34.83
   48    Cd      8.99382     16.90831        37.48
   49    In      5.78636      18.8703        28.03
   50    Sn      7.34392      14.6322     30.50260
   51    Sb      8.60839        16.63         25.3
   52    Te       9.0096         18.6        27.96
   53     I     10.45126      19.1313           33
   54    Xe     12.12984      20.9750      32.1230
   55    Cs     3.893905     23.15744           -1
   56    Ba     5.211664     10.00383           -1
   57    La       5.5769       11.059      19.1773
   58    Ce       5.5387        10.85       20.198
   59    Pr        5.473        10.55       21.624
   60    Nd       5.5250        10.72         22.1
   61    Pm        5.582        10.90         22.3
   62    Sm       5.6437        11.07         23.4
   63    Eu      5.67038        11.25        24.92
   64    Gd      6.14980        12.09        20.63
   65    Tb       5.8638        11.52        21.91
   66    Dy       5.9389        11.67         22.8
   67    Ho       6.0215        11.80        22.84
   68    Er       6.1077        11.93        22.74
   69    Tm      6.18431        12.05        23.68
   70    Yb      6.25416       12.176        25.05
   71    Lu      5.42586         13.9      20.9594
   72    Hf      6.82507           15         23.3
   73    Ta      7.54957           -1           -1
   74     W      7.86403         16.1           -1
   75    Re      7.83352           -1           -1
   76    Os      8.43823           -1           -1
   77    Ir      8.96702           -1           -1
   78    Pt       8.9588       18.563           -1
   79    Au      9.22553        20.20           -1
   80    Hg      10.4375      18.7568         34.2
   81    Tl     6.108194      20.4283        29.83
   82    Pb      7.41663     15.03248      31.9373
   83    Bi       7.2855       16.703        25.56
   84    Po        8.414           -1           -1
   85    At           -1           -1           -1
   86    Rn      10.7485           -1           -1
   87    Fr     4.072741           -1           -1
   88    Ra     5.278423     10.14715           -1
   89    Ac         5.17        11.75           -1
   90    Th       6.3067         11.9         20.0
   91    Pa         5.89           -1           -1
   92     U       6.1941         10.6           -1
   93    Np       6.2657           -1           -1
   94    Pu       6.0260         11.2           -1
   95    Am       5.9738           -1           -1
   96    Cm       5.9914           -1           -1
   97    Bk       6.1979           -1           -1
   98    Cf       6.2817         11.8           -1
   99    Es         6.42         12.0           -1
  100    Fm         6.50           -1           -1
  101    Md         6.58           -1           -1
  102    No         6.65           -1           -1
  103    Lr          4.9           -1           -1
  104    Rf          6.0           -1           -1
