el	sc	ref1	ref2	ref3	ref4	ref5	ref6	ref7
H	1	15291						
D	1	15291						
T	1	15291						
He	1	8948						
He	2	3620						
Li	1	7256						
Li	2	7256						
Li	3	3620						
Be	1	9172						
Be	2	12158						
Be	3	7256						
B	1	12312						
B	2	12120						
B	3	12547						
C	1	7288						
C	2	7288						
C	3	7288						
N	1	7288						
N	2	7288						
N	3	7288						
O	1	7288						
O	2	11267						
O	3	7288						
F	1	7256						
F	2	7256						
F	3	7256						
Ne	1	8826						
Ne	2	9088						
Ne	3	9091						
Na	1	13237						
Na	2	13237						
Na	3	13237						
Mg	1	4995						
Mg	2	4995						
Mg	3	4995						
Al	1	4714	7215					
Al	2	4714						
Al	3	4714						
Si	1	5815						
Si	2	5815						
Si	3	5815						
P	1	7147						
P	2	7147						
P	3	7147						
S	1	7237						
S	2	7237						
S	3	7237						
Cl	1	298						
Cl	2	1617						
Cl	3	900001						
Ar	1	2131	11494					
Ar	2	15349						
Ar	3	15349						
K	1	12392	7185					
K	2	12392						
K	3	7185	12392					
Ca	1	7185						
Ca	2	7185						
Ca	3	7185	8771	13354				
Sc	1	7185						
Sc	2	7185						
Sc	3	7185						
Ti	1	17885						
Ti	2	17885						
Ti	3	7185						
V	1	7185						
V	2	7185						
V	3	7185						
Cr	1	18327						
Cr	2	18847	7185					
Cr	3	7185						
Mn	1	7185						
Mn	2	18355						
Mn	3	7185						
Fe	1	11631						
Fe	2	18349						
Fe	3	7185						
Co	1	7185						
Co	2	9429	11793	7185				
Co	3	7185						
Ni	1	11151						
Ni	2	7185						
Ni	3	7185						
Cu	1	10559	772	18473	1923	4958		
Cu	2	10559						
Cu	3	10559						
Zn	1	9171						
Zn	2	9171						
Zn	3	9171						
Ga	1	12180						
Ga	2	12180						
Ga	3	12180						
Ge	1	7213						
Ge	2	7213						
Ge	3	7213						
As	1	7256						
As	2	7256						
As	3	7256						
Se	1	7256						
Se	2	7256						
Se	3	7256						
Br	1	7256						
Br	2	7256						
Br	3	7256						
Kr	1	12196						
Kr	2	12196						
Kr	3	12196						
Rb	1	9039						
Rb	2	9039						
Rb	3	9039						
Sr	1	15350						
Sr	2	17933	3465					
Sr	3	17933						
Y	1	3465						
Y	2	10987						
Y	3	2592						
Zr	1	3465						
Zr	2	3465						
Zr	3	9267						
Nb	1	3465						
Nb	2	11823						
Nb	3	9419						
Mo	1	10502						
Mo	2	10502						
Mo	3	10502						
Tc	1	14280	149					
Tc	2	3466						
Ru	1	3466						
Ru	2	9882	17219					
Ru	3	3466						
Rh	1	3466						
Rh	2	17221	17223					
Rh	3	3977						
Pd	1	9430						
Pd	2	11817						
Pd	3	3536	6396					
Ag	1	11755	9025	12037	15300	17163	2489	3466
Ag	2	18362						
Ag	3	3039						
Cd	1	3486	3641	9542	3466			
Cd	2	3466						
Cd	3	3466						
In	1	4218	15947	9805	10358	14506	291	
In	2	18318						
In	3	3466						
Sn	1	3149	3936					
Sn	2	3466						
Sn	3	3466						
Sb	1	10083	6231	4893	6684	3466		
Sb	2	16370	16325					
Sb	3	3466						
Te	1	3682	3680	2104	5789	5704	5813	3315
Te	2	15043	3546	2581				
Te	3	3466						
I	1	3674	13998	821				
I	2	7360						
I	3	11993						
Xe	1	12013						
Xe	2	12013						
Xe	3	12013						
Cs	1	15024						
Cs	2	15024						
Cs	3	15024						
Ba	1	11975						
Ba	2	11975						
Ba	3	16316						
La	1	3974						
La	2	3974						
La	3	3974						
Ce	1	3974						
Ce	2	3974						
Ce	3	3974						
Pr	1	3974						
Pr	2	3974						
Pr	3	3974						
Nd	1	3974						
Nd	2	3974						
Nd	3	3974						
Pm	1	3974						
Pm	2	3974	8844					
Pm	3	3974						
Sm	1	3974						
Sm	2	3974						
Sm	3	3974						
Eu	1	3974						
Eu	2	3974						
Eu	3	3974						
Gd	1	3974						
Gd	2	3974						
Gd	3	3974						
Tb	1	3974						
Tb	2	3974	8844					
Tb	3	3974						
Dy	1	3974	8844					
Dy	2	3974	8844					
Dy	3	3974						
Ho	1	3974	8844					
Ho	2	3974						
Ho	3	3974						
Er	1	3974						
Er	2	3974						
Er	3	3974						
Tm	1	3974						
Tm	2	3974						
Tm	3	3974						
Yb	1	3974						
Yb	2	3974						
Yb	3	3974						
Lu	1	3974	4320	4389				
Lu	2	3974						
Lu	3	3974						
Hf	1	3466	8844					
Hf	2	3466						
Ta	1	3466						
Ta	2	3466						
W	1	12177						
W	2	12177						
W	3	14671						
Re	1	3466						
Re	2	3466						
Os	1	3466						
Os	2	3466						
Ir	1	3466						
Ir	2	4457						
Pt	1	3466						
Pt	2	3466						
Au	1	3466	8844					
Au	2	3466	8844					
Hg	1	9019						
Hg	2	11760						
Hg	3	3466	10932					
Tl	1	3466						
Tl	2	3466	8844					
Tl	3	3138						
Pb	1	3466	8844					
Pb	2	3466	8844					
Pb	3	3466	1839	10767	14078			
Bi	1	3466	8844					
Bi	2	9887	6771	3466				
Bi	3	3466						
Po	1	3488	3466					
At	1	3511						
Rn	1	3466						
Rn	2	3466						
Fr	1	12264						
Ra	1	3466						
Ra	2	3466						
Ac	1	3466						
Ac	2	3466						
Ac	3	3466						
