Do    sigma     #states
6.870   1       19
state   Te       gel     Be    alfe      we       wxe
X       0.0       2     0.53541 0.00301  1009.02   4.498
X      96.4       2     0.53541 0.00301  1009.02   4.498
X     197.5       2     0.53541 0.00301  1009.02   4.498
a     3440.       2     0.53760 0.00298  1009.02   3.93
d     5655.6      1     0.54922 0.00337  1014.6    4.64
# next no data for Be or alfe, retain data from NIST 73
E   12025.        6     0.5134  0.0029   924.2     5.1
A   14089.91      2     0.50739 0.00315  867.78    3.942
A   14262.8       2     0.50739 0.00315  867.78    3.942
A   14431.0       2     0.50739 0.00315  867.78    3.942
b   14762.        2     0.51337 0.00291  911.2     3.72
# next no data for alfe, retain data from NIST 73
B   16293.5       2     0.50617 0.0032   875.      5.0
B   16315.1       2     0.50617 0.0032   875.      5.0
B   16331.3       2     0.50617 0.0032   875.      5.0
C   19427.12      2     0.48989 0.00306  838.26    4.76
C   19525.5       2     0.48989 0.00306  838.26    4.76
C   19617.0       2     0.48989 0.00306  838.26    4.76
c   21330.2       2     0.5230  0.00313  909.6     4.19
# next no data for wxe or alfe, retain data from NIST 73
f   22572.        2     0.50221 0.003     890.     4.2
e   30038.1       1     0.4892  0.0023    845.2    4.2
###
data from NIST chemistry webbook, Huber & Herzberg
