                                      c)      c -1 -1  .  .           .           .           .           .           .           .           .           .           .           .
                                      c)      c -1  1  .  .           .           .           .           .           .           .           .           .           .           .
                            f (^3 Delta)      f  2  1  .  .           .           .           .           .           .           .           .           .           .           .
                                       e      e -1  1  .  .           .           .           .           .           .           .           .           .           .           .
                            E ^1 Sigma^+      E  0  1  +  .     27212.4      843.27        3.04           .      0.3951      0.0019           .      3.4E-7           .      1.7726
                              D ^1 Delta      D  2  1  .  .   y+19321.5     [835.4]        2.56           .      0.3986      0.0021           .      3.8E-7           .      1.7648
                              d ^3 Delta      d  2  1  .  .   x+22314.9       820.6        3.31           .    [0.3953]    (0.0021)           .    [2.4E-7]           .      1.7761
                              d ^3 Delta      d  2  1  .  .   x+21894.3       820.6        3.31           .    [0.3926]    (0.0021)           .    [1.8E-7]           .      1.7761
                              d ^3 Delta      d  2  1  .  .   x+21594.3       820.6        3.31           .    [0.3896]    (0.0021)           .    [3.5E-7]           .      1.7761
                               c ^3 Pi_r      c  1  1  .  .   x+18137.6       845.4        3.64           .    [0.4058]    (0.0023)           .    [3.9E-7]           .       1.756
                               c ^3 Pi_r      c  1  1  .  .   x+18079.4       845.4        3.64           .    [0.4032]    (0.0023)           .    [5.0E-7]           .       1.756
                               c ^3 Pi_r      c  1  1  .  .   x+18041.3       845.4        3.64           .    [0.3960]    (0.0023)           .    [2.4E-7]           .       1.756
                              b ^3 Phi_r      b  3  1  .  .   x+16700.5       853.9        3.14           .   [0.40438]     0.00191           .  [3.642E-7]           .     1.75143
                              b ^3 Phi_r      b  3  1  .  .   x+16070.4       853.9        3.14           .   [0.40368]     0.00210           .  [3.617E-7]           .     1.75143
                              b ^3 Phi_r      b  3  1  .  .   x+15468.0       853.9        3.14           .   [0.40307]     0.00198           .  [3.562E-7]           .     1.75143
                                 B ^1 Pi      B  1  1  .  .       15443         859           3           .   [0.40154]           .           .   [3.52E-7]           .   [1.75832]
                              A ^1 Delta      A  2  1  .  .           y       938.1        1.80           .    [0.4167]    (0.0012)           .    [3.5E-7]           .    [1.7260]
                              a ^3 Delta      a  2  1  .  .     x+625.5       936.5        3.47           .   [0.41573]   [0.00173]           .  [3.309E-7]           .    [1.7285]
                              a ^3 Delta      a  2  1  .  .    x+287.91       936.5        3.47           .   [0.41475]   [0.00190]           .  [3.269E-7]           .    [1.7285]
                              a ^3 Delta      a  2  1  .  .           x       936.5        3.47           .   [0.41328]   [0.00178]           .  [3.169E-7]           .    [1.7285]
                            X ^1 Sigma^+      X  0  1  +  .           0      969.76        4.90           .   [0.42263]    [0.0023]           .   [3.19E-7]           .    [1.7116]
