Do      sigma     #states
11.092   1       8
state   Te       gel     Be          alfe        we           wxe
X       0.0       1      1.93128087  0.01750441  2169.81358   13.28831
a       48686.7   6      1.69124     0.01904     1743.41      14.36
ad      55825.49  3      1.3446      0.01892     1228.6       10.468
d       61120.    6      1.3108      0.01782     1171.94      10.635
e       64230.2   3      1.2836      0.01753     1117.7       10.686
A       65075.7   2      1.6115      0.02325     1518.2       19.4
I       65084.4   1      1.2705      0.01848     1092.22      10.704
D       65928.    2      1.257       0.017       1094.        10.2  
###
data from NIST Chemistry webbook, Huber & Herzberg
